book_id,position,token_length,char_length,genre,author,title,source_file
cd991273-a06e-44b6-8374-d1d80c0cb79d,4356,585,1548,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,4492,591,2529,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,4828,516,1377,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,5577,723,1853,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,5578,672,1805,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,6392,529,1428,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,6407,565,2249,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,8284,655,1662,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,8288,704,1857,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,10639,625,1606,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,10642,594,1631,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
44454571-e800-4609-9feb-084383b7f870,28128,593,2309,,Unknown,"Энциклопедия военных и морских наук в 8 томах. Под ред. Леера Г.А. Том 3, 1883",44454571-e800-4609-9feb-084383b7f870.jsonl
a7661231-75ce-41c9-b91c-6e8458390c06,4976,910,3415,,Unknown,"Пирожников А.И. История 10-го Пехотного Новоингерманландского полка, 1913",a7661231-75ce-41c9-b91c-6e8458390c06.jsonl
a7661231-75ce-41c9-b91c-6e8458390c06,4982,733,2630,,Unknown,"Пирожников А.И. История 10-го Пехотного Новоингерманландского полка, 1913",a7661231-75ce-41c9-b91c-6e8458390c06.jsonl
a7661231-75ce-41c9-b91c-6e8458390c06,4992,588,2148,,Unknown,"Пирожников А.И. История 10-го Пехотного Новоингерманландского полка, 1913",a7661231-75ce-41c9-b91c-6e8458390c06.jsonl
a7661231-75ce-41c9-b91c-6e8458390c06,5257,684,2543,,Unknown,"Пирожников А.И. История 10-го Пехотного Новоингерманландского полка, 1913",a7661231-75ce-41c9-b91c-6e8458390c06.jsonl
a7661231-75ce-41c9-b91c-6e8458390c06,7757,834,2798,,Unknown,"Пирожников А.И. История 10-го Пехотного Новоингерманландского полка, 1913",a7661231-75ce-41c9-b91c-6e8458390c06.jsonl
d23b5a9e-4ae5-46e1-9be2-bb30c02903b5,10745,744,3330,,Unknown,"Сгибнев А.С. Обзор заграничных плаваний судов русского военного флота с 1850 по 1868 гг. Том 2, 1871",d23b5a9e-4ae5-46e1-9be2-bb30c02903b5.jsonl
d259b0c5-be18-4232-9cbc-2cae7e39ec03,673,514,1181,,Unknown,"Порошков В.В. Ракетно-космический подвиг Байконура (хронологическое, документальное, иллюстрированное историческое исследование), 2007",d259b0c5-be18-4232-9cbc-2cae7e39ec03.jsonl
d259b0c5-be18-4232-9cbc-2cae7e39ec03,5682,843,1703,,Unknown,"Порошков В.В. Ракетно-космический подвиг Байконура (хронологическое, документальное, иллюстрированное историческое исследование), 2007",d259b0c5-be18-4232-9cbc-2cae7e39ec03.jsonl
d259b0c5-be18-4232-9cbc-2cae7e39ec03,7188,1262,2617,,Unknown,"Порошков В.В. Ракетно-космический подвиг Байконура (хронологическое, документальное, иллюстрированное историческое исследование), 2007",d259b0c5-be18-4232-9cbc-2cae7e39ec03.jsonl
67afb366-357b-462c-8fdb-66ce9610f9fb,5506,585,1284,,Unknown,Арлазоров М. С. Артем Микоян,67afb366-357b-462c-8fdb-66ce9610f9fb.jsonl
67afb366-357b-462c-8fdb-66ce9610f9fb,11281,585,1284,,Unknown,Арлазоров М. С. Артем Микоян,67afb366-357b-462c-8fdb-66ce9610f9fb.jsonl
eb49f289-a64e-412d-97a9-b6723db8b6be,4336,798,2606,,Unknown,"Литвин Г.А., Смирнов Я был воздушным стрелком",eb49f289-a64e-412d-97a9-b6723db8b6be.jsonl
eb49f289-a64e-412d-97a9-b6723db8b6be,8946,798,2606,,Unknown,"Литвин Г.А., Смирнов Я был воздушным стрелком",eb49f289-a64e-412d-97a9-b6723db8b6be.jsonl
2572a530-35cb-423a-9baa-7d0447a98964,863,568,1930,,Unknown,"Устав ратных, пушечных и других дел, касающихся до воинской науки 1607, 1777",2572a530-35cb-423a-9baa-7d0447a98964.jsonl
